Entrez ID;Gene Symbol;Regulation ([hypo] vs [co]);GO Accession;Ensembl ID;Gene ID;FC ([hypo] vs [co]);Log FC ([hypo] vs [co]);FC (abs) ([hypo] vs [co]);[co](raw);[hypo](raw);[co](normalized);[hypo](normalized);Aliases;Gene Type
18143;Npas2;down;GO:0003677|GO:0003700|GO:0004871|GO:0005634|GO:0005667|GO:0006351|GO:0006355|GO:0007165|GO:0042745|GO:0045475|GO:0045944|GO:0048511|GO:0051879;ENSMUSG00000026077;18143;-1.764526;-0.81928074;1.764526;77;34;0.38167143;-0.43760934;MGC129355|MOP4|bHLHe9;protein-coding
263764;Creg2;up;GO:0003674|GO:0005576|GO:0005783|GO:0005794|GO:0008150|GO:0010181;ENSMUSG00000050967;263764;1.8168542;0.8614427;1.8168542;18.80363;24.001715;-0.4827876;0.3786551;A830098L22Rik;protein-coding
226999;Slc9a2;down;GO:0005903|GO:0006810|GO:0006811|GO:0006814|GO:0006885|GO:0008104|GO:0015297|GO:0015385|GO:0015992|GO:0016021;ENSMUSG00000026062;226999;-2.9020264;-1.5370606;2.9020264;13.666667;3.6666667;0.19019969;-1.3468609;2210416H12Rik|4932415O19Rik|AV333884|MGC124408|MGC124410|NHE2;protein-coding
381339;Tmem182;down;GO:0003674|GO:0005575|GO:0008150|GO:0016020|GO:0016021;ENSMUSG00000079588;381339;-1.7081683;-0.7724501;1.7081683;2244.9133;938.8337;0.2985735;-0.47387663;2310079P10Rik|AI414494;protein-coding
93690;Gpr45;down;GO:0004871|GO:0004872|GO:0004930|GO:0005886|GO:0007165|GO:0007186|GO:0016020|GO:0016021;ENSMUSG00000041907;93690;-1.7411317;-0.80002534;1.7411317;21.433332;9.766666;0.29468098;-0.5053444;9230112G11Rik|AW046772;protein-coding
53945;Slc40a1;up;GO:0002260|GO:0003158|GO:0005381|GO:0005515|GO:0005886|GO:0006810|GO:0006811|GO:0006826|GO:0006915|GO:0008021|GO:0016020|GO:0016021|GO:0034755|GO:0048536|GO:0055072|GO:0060345|GO:0060586;ENSMUSG00000025993;53945;1.5334126;0.61674595;1.5334126;2800.7002;3094.9668;0.01736323;0.6341092;Dusg|Fpn1|IREG1|MTP|MTP1|Ol5|Pcm|Slc11a3|Slc39a1;protein-coding
20849;Stat4;down;GO:0003677|GO:0003700|GO:0004871|GO:0005509|GO:0005515|GO:0005634|GO:0005737|GO:0006351|GO:0006355|GO:0006468|GO:0007165|GO:0008283|GO:0019221|GO:0043565;ENSMUSG00000062939;20849;-1.6385446;-0.7124149;1.6385446;250.3;112.10667;0.36354575;-0.34886917;;protein-coding
67080;1700019D03Rik;down;GO:0003674|GO:0005575|GO:0008150;ENSMUSG00000043629;67080;-1.930315;-0.94883627;1.930315;25.673332;9.666667;0.2816167;-0.6672196;2410136C24Rik|AA410151|MGC58779;protein-coding
17700;Mstn;down;GO:0005102|GO:0005125|GO:0005515|GO:0005576|GO:0005615|GO:0005737|GO:0007179|GO:0008083|GO:0014741|GO:0040007|GO:0045893|GO:0048632;ENSMUSG00000026100;17700;-2.21675;-1.1484461;2.21675;743.4267;240.32666;0.4261872;-0.72225887;Cmpt|Gdf8|MGC124261|MGC124262|MGC124263;protein-coding
212712;Satb2;up;GO:0000118|GO:0000122|GO:0000790|GO:0001764|GO:0002076|GO:0003677|GO:0003682|GO:0003700|GO:0005515|GO:0005634|GO:0005667|GO:0005737|GO:0006338|GO:0006351|GO:0006355|GO:0007275|GO:0009880|GO:0010468|GO:0016568|GO:0043565|GO:0045944|GO:0048704|GO:0051216|GO:0060021;ENSMUSG00000038331;212712;1.5245379;0.6083721;1.5245379;103.48267;114.95148;-0.36154732;0.24682474;mKIAA1034;protein-coding
14369;Fzd7;up;GO:0001944|GO:0004871|GO:0004872|GO:0004930|GO:0005515|GO:0005737|GO:0005886|GO:0006355|GO:0006357|GO:0007165|GO:0007186|GO:0007199|GO:0007223|GO:0007275|GO:0007409|GO:0007420|GO:0008406|GO:0009790|GO:0010812|GO:0014834|GO:0016020|GO:0016021|GO:0016055|GO:0017147|GO:0019827|GO:0030165|GO:0030855|GO:0032589|GO:0033077|GO:0034446|GO:0035412|GO:0035567|GO:0042327|GO:0042666|GO:0042813|GO:0045177|GO:0045893|GO:0048103|GO:0060054|GO:0060070|GO:0060231;ENSMUSG00000041075;14369;1.8196553;0.8636652;1.8196553;3723.2266;4932.7134;-0.53706676;0.3265985;Fz7;protein-coding
12487;Cd28;down;GO:0002020|GO:0002863|GO:0005070|GO:0005829|GO:0005886|GO:0008624|GO:0009897|GO:0009967|GO:0031295|GO:0042102|GO:0042110|GO:0042803|GO:0045060|GO:0045066|GO:0045086|GO:0045121|GO:0045840|GO:0045944|GO:0046641|GO:0048304|GO:0050690;ENSMUSG00000026012;12487;-1.6609514;-0.7320099;1.6609514;33.426666;18.333334;0.22272007;-0.5092898;;protein-coding
14367;Fzd5;up;GO:0000578|GO:0001525|GO:0001944|GO:0004871|GO:0004872|GO:0004888|GO:0004930|GO:0005515|GO:0005737|GO:0005794|GO:0005886|GO:0006357|GO:0007165|GO:0007166|GO:0007186|GO:0007275|GO:0007409|GO:0007420|GO:0008285|GO:0008406|GO:0008595|GO:0009986|GO:0016020|GO:0016021|GO:0016055|GO:0017147|GO:0019901|GO:0030154|GO:0030165|GO:0031076|GO:0031077|GO:0032729|GO:0033077|GO:0042813|GO:0042995|GO:0044332|GO:0045944|GO:0048469|GO:0048471|GO:0060061|GO:0060070|GO:0060561|GO:0060716|GO:0071219;ENSMUSG00000045005;14367;2.0249648;1.0178969;2.0249648;2001.1333;2854.6199;-0.15200806;0.8658889;5330434N09Rik|AI427138|Fz-5|Fz5|MGC141642|mFz5;protein-coding
227231;Cps1;down;GO:0000050|GO:0000166|GO:0003824|GO:0004086|GO:0004087|GO:0004175|GO:0005509|GO:0005515|GO:0005524|GO:0005543|GO:0005737|GO:0005739|GO:0005743|GO:0005759|GO:0005980|GO:0006541|GO:0006807|GO:0008152|GO:0016595|GO:0016874|GO:0019433|GO:0032403|GO:0032496|GO:0042645|GO:0043234|GO:0045909|GO:0046209|GO:0046872|GO:0055081|GO:0070409;ENSMUSG00000025991;227231;-2.3872654;-1.2553589;2.3872654;28.653336;8.646667;0.5827015;-0.6726575;4732433M03Rik|CPS|D1Ucla3;protein-coding
16008;Igfbp2;down;GO:0001558|GO:0005520|GO:0005576|GO:0005615|GO:0016324|GO:0019838|GO:0031410|GO:0031994|GO:0031995|GO:0040008|GO:0042104;ENSMUSG00000039323;16008;-1.691578;-0.75836974;1.691578;5631.4277;2401.553;0.31039873;-0.44797102;AI255832|Igfbp-2|mIGFBP-2;protein-coding
435626;Rufy4;down;GO:0003674|GO:0005575|GO:0008150|GO:0046872;ENSMUSG00000061815;435626;-1.8274833;-0.86985826;1.8274833;107.42667;42.38667;0.34610686;-0.52375144;F930048N03Rik;protein-coding
241113;Prkag3;down;GO:0004679|GO:0005829|GO:0005978|GO:0006633|GO:0008610|GO:0015758|GO:0019901|GO:0031588|GO:0046320;ENSMUSG00000006542;241113;-1.7538788;-0.8105491;1.7538788;675.4803;273.74332;0.21231079;-0.5982383;AMPKg3L|AMPKg3S|Amkg3|Ampkg3;protein-coding
22420;Wnt6;down;GO:0000122|GO:0001658|GO:0001664|GO:0005102|GO:0005515|GO:0005576|GO:0005578|GO:0005615|GO:0005886|GO:0007165|GO:0007267|GO:0007275|GO:0009798|GO:0009887|GO:0009952|GO:0009986|GO:0010628|GO:0016055|GO:0031012|GO:0042475|GO:0045893|GO:0060070|GO:0060684|GO:0070172|GO:0072079|GO:0072080;ENSMUSG00000033227;22420;-1.5176047;-0.6017961;1.5176047;22.666666;11.466667;0.24206884;-0.35972723;AA409270|Wnt-6;protein-coding
74104;Abcb6;up;GO:0000166|GO:0005524|GO:0005739|GO:0005740|GO:0005741|GO:0005774|GO:0005794|GO:0005886|GO:0006200|GO:0006779|GO:0006810|GO:0008152|GO:0015086|GO:0015439|GO:0015562|GO:0015886|GO:0016020|GO:0016021|GO:0016887|GO:0017111|GO:0020037|GO:0031307|GO:0042626|GO:0055085|GO:0070574|GO:0071585;ENSMUSG00000026198;74104;1.8811021;0.9115782;1.8811021;2506.0603;3421.2727;-0.12294928;0.7886289;1200005B17Rik;protein-coding
22145;Tuba4a;up;GO:0000166|GO:0003924|GO:0005198|GO:0005525|GO:0005576|GO:0005737|GO:0005829|GO:0005856|GO:0005874|GO:0006184|GO:0007017|GO:0007018|GO:0043234|GO:0051258;ENSMUSG00000026202;22145;1.6918725;0.75862086;1.6918725;3717.7566;4418.1367;-0.06615671;0.6924642;M[a]4|Tuba4;protein-coding
57814;Kcne4;down;GO:0005216|GO:0005244|GO:0005249|GO:0005267|GO:0006810|GO:0006811|GO:0006813|GO:0008076|GO:0016020|GO:0016021|GO:0016324|GO:0034765|GO:0071805;ENSMUSG00000047330;57814;-1.6284386;-0.7034893;1.6284386;38.7;21.340002;0.19409005;-0.50939924;AW487937|MiRP3;protein-coding
12828;Col4a3;down;GO:0005178|GO:0005201|GO:0005488|GO:0005576|GO:0005578|GO:0005581|GO:0005587|GO:0005604|GO:0006917|GO:0006919|GO:0007155|GO:0007166|GO:0008283|GO:0016525|GO:0032836;ENSMUSG00000079465;12828;-1.7067552;-0.7712561;1.7067552;85.579994;38.13333;0.1732939;-0.5979622;[a]3(IV)|alpha3(IV)|tumstatin;protein-coding
77629;Sphkap;up;GO:0003674|GO:0005575|GO:0005737|GO:0008150;ENSMUSG00000026163;77629;1.6313721;0.70608586;1.6313721;7715.6274;9178.081;-0.37952837;0.3265575;4930544G21Rik|A930009L15Rik|AI852220|mKIAA1678;protein-coding
98496;Pid1;down;GO:0003674|GO:0005575|GO:0005737|GO:0008150;ENSMUSG00000045658;98496;-1.5681759;-0.6490874;1.5681759;354.76;160.33333;0.33452496;-0.31456247;5033414K04Rik|MGC90850;protein-coding
71781;Slc16a14;down;GO:0003674|GO:0005575|GO:0005886|GO:0006810|GO:0008150|GO:0015293|GO:0016020|GO:0016021|GO:0055085;ENSMUSG00000026220;71781;-3.0111015;-1.5902914;3.0111015;18.853333;5.4133334;0.37074518;-1.2195462;1110004H10Rik;protein-coding
20684;Sp100;down;GO:0000122|GO:0003713|GO:0003714|GO:0005634|GO:0005730|GO:0005737|GO:0006978|GO:0008134|GO:0016605|GO:0019900|GO:0019904|GO:0032526|GO:0032897|GO:0034097|GO:0034340|GO:0034341|GO:0034399|GO:0042802|GO:0042803|GO:0043392|GO:0043433|GO:0045892|GO:0045893|GO:0051091|GO:0051271|GO:0070087;ENSMUSG00000026222;20684;-2.2572494;-1.1745658;2.2572494;52.713333;17.333334;0.31670666;-0.8578591;A430075G10Rik;protein-coding
227326;Gpr55;down;GO:0004871|GO:0004872|GO:0004930|GO:0004949|GO:0005886|GO:0005887|GO:0007165|GO:0007186|GO:0007202|GO:0016021|GO:0035025|GO:0045453|GO:0045671|GO:0070374;ENSMUSG00000049608;227326;-2.4081786;-1.2679423;2.4081786;18;5.3333335;0.7152596;-0.5526827;Gm218;protein-coding
11449;Chrng;down;GO:0004872|GO:0004889|GO:0005216|GO:0005515|GO:0005886|GO:0005892|GO:0006810|GO:0006811|GO:0006812|GO:0007165|GO:0015276|GO:0016020|GO:0016021|GO:0030054|GO:0034220|GO:0042391|GO:0045202|GO:0045211;ENSMUSG00000026253;11449;-5.443098;-2.444428;5.443098;83.37334;11.713333;1.2991606;-1.1452674;Achr-3|Acrg;protein-coding
98363;Efhd1;down;GO:0003674|GO:0005509|GO:0005739|GO:0005743|GO:0031175;ENSMUSG00000026255;98363;-2.1280007;-1.0894986;2.1280007;24.88;7.6666665;0.7819397;-0.30755892;4931430I01Rik|AI452351|MGC103094|PP3051|mitocalcin;protein-coding
53972;Ngef;up;GO:0005085|GO:0005089|GO:0005515|GO:0005622|GO:0005737|GO:0005829|GO:0005886|GO:0006915|GO:0007275|GO:0007399|GO:0008624|GO:0009987|GO:0016020|GO:0030154|GO:0035023|GO:0042995|GO:0050790;ENSMUSG00000026259;53972;1.7723436;0.8256583;1.7723436;42.34667;50.233334;-0.6292758;0.19638252;Tims2|ephexin;protein-coding
394432;Ugt1a7c;down;GO:0005624|GO:0005783|GO:0005792|GO:0006711|GO:0008152|GO:0015020|GO:0016020|GO:0016021|GO:0016740|GO:0016757|GO:0016758|GO:0019439|GO:0046226;ENSMUSG00000054545|ENSMUSG00000089675|ENSMUSG00000089943|ENSMUSG00000089960|ENSMUSG00000090124|ENSMUSG00000090145|ENSMUSG00000090165|ENSMUSG00000090171|ENSMUSG00000090175;394432;-1.9671907;-0.97613686;1.9671907;60.778767;22.69525;0.5993034;-0.37683344;A10'|A13|Ugt1a10;protein-coding
171531;Mlph;down;GO:0003779|GO:0005515|GO:0006605|GO:0006886|GO:0015629|GO:0017022|GO:0017137|GO:0030318|GO:0031489|GO:0032400|GO:0042470|GO:0043473|GO:0046872|GO:0051010;ENSMUSG00000026303;171531;-1.5260644;-0.6098159;1.5260644;120.37112;56.486115;0.26695696;-0.34285894;2210418F23Rik|5031433I09Rik|AW228792|D1Wsu84e|Slac-2a|l(1)-3Rk|l1Rk3|ln;protein-coding
65247;Asb1;up;GO:0003674|GO:0005575|GO:0007275|GO:0030539|GO:0035556;ENSMUSG00000026311;65247;1.5090034;0.5935961;1.5090034;6450.36;6849.353;0.094900765;0.6884969;1700029O08Rik|1700054C17Rik|AI426616|AI851378|mKIAA1146;protein-coding
64095;Gpr35;down;GO:0004871|GO:0004872|GO:0004930|GO:0005886|GO:0005887|GO:0007165|GO:0007186|GO:0016020|GO:0016021;ENSMUSG00000026271;64095;-1.7624923;-0.81761694;1.7624923;66.333336;28.550001;0.16896264;-0.6486543;KPG_007;protein-coding
208777;Sned1;down;GO:0003674|GO:0005509|GO:0005575|GO:0005576|GO:0007160|GO:0008150;ENSMUSG00000047793;208777;-1.6941844;-0.7605909;1.6941844;416.42667;179.80669;0.43649006;-0.32410082;6720455I24Rik|AI197264|AI642697|D430044C15Rik|SST3|Snep;protein-coding
18484;Pam;down;GO:0003824|GO:0004497|GO:0004504|GO:0004598|GO:0005507|GO:0005515|GO:0005624|GO:0005829|GO:0005887|GO:0006518|GO:0008152|GO:0009268|GO:0009987|GO:0016020|GO:0016021|GO:0016491|GO:0016715|GO:0016829|GO:0030141|GO:0031410|GO:0031418|GO:0042493|GO:0043204|GO:0046872|GO:0055114;ENSMUSG00000026335;18484;-1.592123;-0.67095184;1.592123;153072.02;69439.44;0.21237247;-0.4585794;PHM;protein-coding
241175;Cntnap5b;up;GO:0005102|GO:0007155|GO:0007165|GO:0016020|GO:0016021;ENSMUSG00000067028;241175;1.9788911;0.9846922;1.9788911;703.3245;932.9786;-0.48258176;0.5021105;C230078M14Rik|Caspr5-2;protein-coding
71869;Serpinb12;down;GO:0004867|GO:0005575|GO:0005737|GO:0010466|GO:0010951|GO:0030162|GO:0030414;ENSMUSG00000059956;71869;-2.0169322;-1.0121626;2.0169322;19.853334;9.333333;0.23987572;-0.7722869;2300003F07Rik|4833409F13Rik;protein-coding
241197;Serpinb10-ps;down;;ENSMUSG00000084953|ENSMUSG00000091143;241197;-1.5043421;-0.58913267;1.5043421;32.666668;15;0.53317755;-0.055955093;9830131G07|BB233602|Serpinb10;protein-coding
68428;Steap3;up;GO:0000293|GO:0005488|GO:0005506|GO:0005768|GO:0005771|GO:0005886|GO:0006810|GO:0006811|GO:0006826|GO:0006915|GO:0006917|GO:0007049|GO:0009055|GO:0009306|GO:0016020|GO:0016021|GO:0016491|GO:0033572|GO:0046872|GO:0050660|GO:0055072|GO:0055114;ENSMUSG00000026389;68428;1.7740402;0.82703876;1.7740402;4339.9727;5433.9663;-0.086621284;0.7404175;1010001D01Rik|Tsap6|pHyde;protein-coding
266645;Acmsd;up;GO:0001760|GO:0003824|GO:0005625|GO:0005829|GO:0008152|GO:0016829|GO:0016831|GO:0046872|GO:0046874;ENSMUSG00000026348;266645;2.3628273;1.2405142;2.3628273;268.12195;434.95615;-0.21585655;1.0246576;;protein-coding
226418;Yod1;up;GO:0004843|GO:0005575|GO:0005622|GO:0006986|GO:0008152|GO:0008233|GO:0008234|GO:0008270|GO:0016787|GO:0030433|GO:0030968|GO:0046872|GO:0070536|GO:0071108;ENSMUSG00000046404;226418;1.5687205;0.6495883;1.5687205;1134.2343;1247.8358;0.08039316;0.7299814;9930028C20Rik|Hshin7;protein-coding
212439;AA986860;up;GO:0003674|GO:0004872|GO:0005575|GO:0005737|GO:0007165|GO:0008150;ENSMUSG00000042510;212439;1.7011594;0.7665183;1.7011594;300.36;349.54666;-0.12415123;0.64236706;E030025M07|MGC156398|Sarg;protein-coding
64435;Fcamr;down;GO:0001791|GO:0004872|GO:0004888|GO:0005886|GO:0006955|GO:0007165|GO:0016020|GO:0016021|GO:0019862;ENSMUSG00000026415;64435;-1.5078977;-0.5925386;1.5078977;31.539999;16.193335;0.056020577;-0.53651804;MGC129330|MGC129331;protein-coding
69169;Faim3;down;GO:0016020|GO:0016021;ENSMUSG00000042474;69169;-1.8388264;-0.87878525;1.8388264;28.113333;11.38;0.25568756;-0.6230977;1810037B05Rik|MGC144825|MGC144826|Toso;protein-coding
56489;Ikbke;down;GO:0000166|GO:0002756|GO:0004704|GO:0005524|GO:0005634|GO:0005737|GO:0005829|GO:0006468|GO:0008384|GO:0008630|GO:0010008|GO:0016301|GO:0016310|GO:0016605;ENSMUSG00000042349;56489;-1.5060946;-0.5908123;1.5060946;501.68668;238.85999;0.20593452;-0.38487783;AW558201|IKK-i|IKKepsilon|Ikki;protein-coding
21367;Cntn2;up;GO:0000226|GO:0001764|GO:0001948|GO:0005515|GO:0005886|GO:0007155|GO:0007160|GO:0007409|GO:0007411|GO:0007413|GO:0007612|GO:0007628|GO:0008076|GO:0009986|GO:0010769|GO:0010954|GO:0016020|GO:0021853|GO:0022010|GO:0030246|GO:0030424|GO:0031133|GO:0031175|GO:0031225|GO:0031623|GO:0033268|GO:0034613|GO:0043005|GO:0043025|GO:0043209|GO:0043621|GO:0044224|GO:0044456|GO:0045163|GO:0045665|GO:0048168|GO:0048710|GO:0060168|GO:0071205|GO:0071206;ENSMUSG00000053024;21367;1.6079544;0.68522644;1.6079544;60.981262;72.06797;-0.3350409;0.35018554;D130012K04Rik|TAG-1|Tax;protein-coding
269120;Optc;down;GO:0003674|GO:0005575|GO:0008150;ENSMUSG00000010311;269120;-1.7773846;-0.8297559;1.7773846;77.08667;33.546665;0.22128947;-0.60846645;MGC117622;protein-coding
116847;Prelp;down;GO:0005576|GO:0005578|GO:0007569|GO:0008201;ENSMUSG00000041577;116847;-1.5732853;-0.65378034;1.5732853;229.27998;105.65333;0.30459437;-0.34918594;7330409J17Rik|SLRR2A;protein-coding
53311;Mybph;up;GO:0003674|GO:0005575|GO:0007155|GO:0008150|GO:0032982;ENSMUSG00000042451;53311;2.0476077;1.0339392;2.0476077;39.531345;59.55369;-0.5948855;0.43905368;AI385643|MGC144854|MGC144855|MyBP-H;protein-coding
17928;Myog;up;GO:0001503|GO:0003677|GO:0003700|GO:0003705|GO:0005634|GO:0005654|GO:0006355|GO:0007275|GO:0007517|GO:0007519|GO:0030154|GO:0045893|GO:0045944|GO:0048741|GO:0051149|GO:0071285|GO:0071363;ENSMUSG00000026459;17928;3.0895662;1.6274043;3.0895662;23;76.40667;-0.29042348;1.3369808;MYF4|bHLHc3|myo;protein-coding
20980;Syt2;up;GO:0005215|GO:0005509|GO:0005515|GO:0005544|GO:0005886|GO:0006810|GO:0008021|GO:0016020|GO:0016021|GO:0030054|GO:0030666|GO:0031410|GO:0042598|GO:0043231|GO:0045202|GO:0046872;ENSMUSG00000026452;20980;1.7836254;0.83481264;1.7836254;34.78;43.61667;-0.24102943;0.5937832;KIAA4194|R74640|mKIAA4194;protein-coding
329252;Lgr6;up;GO:0003674|GO:0004871|GO:0004872|GO:0004930|GO:0005575|GO:0005886|GO:0007165|GO:0007186|GO:0008150|GO:0016020|GO:0016021|GO:0016500;ENSMUSG00000042793;329252;2.8011549;1.4860218;2.8011549;141.82;291.98;-0.684696;0.8013258;A530037C04Rik|D830026M09;protein-coding
93689;Lmod1;up;GO:0003674|GO:0005523|GO:0005737|GO:0005856|GO:0006936;ENSMUSG00000048096;93689;1.8313392;0.87289906;1.8313392;593.11334;790.19336;-0.5479991;0.3249;9530015K06Rik|SM-Lmod;protein-coding
381293;Kif14;up;GO:0000166|GO:0005524|GO:0005874;ENSMUSG00000041498;381293;1.5597376;0.64130336;1.5597376;2975.0598;3382.3596;-0.12608528;0.5152181;D1Ertd367e|E130203M01|MGC189899;protein-coding
16876;Lhx9;up;GO:0003677|GO:0003700|GO:0005515|GO:0005634|GO:0006355|GO:0008270|GO:0008283|GO:0008584|GO:0008585|GO:0035262|GO:0043565|GO:0046872;ENSMUSG00000019230;16876;1.5757844;0.65607023;1.5757844;256.22165;295.67502;-0.5138723;0.14219792;3110009O07Rik|BB104635|LH2B;protein-coding
170788;Crb1;down;GO:0003674|GO:0005575|GO:0016044|GO:0042462;ENSMUSG00000063681;170788;-1.59831;-0.6765472;1.59831;156.40001;70.26;0.28948388;-0.38706335;7530426H14Rik|A930008G09Rik;protein-coding
545366;BC026782;down;;ENSMUSG00000033898;545366;-2.00611;-1.0044007;2.00611;39.04445;15.537778;0.17876022;-0.8256405;Cfhrb_4/2;protein-coding
96875;Prg4;up;GO:0005044|GO:0005576|GO:0006955|GO:0007165|GO:0030247;ENSMUSG00000006014;96875;1.7329454;0.79322624;1.7329454;25.20308;33.343853;-0.32108656;0.4721397;CACP|DOL54|JCAP|MGC161183|MSF|SZP|lubricin;protein-coding
63913;Fam129a;down;GO:0001933|GO:0001934|GO:0003674|GO:0005634|GO:0005737|GO:0005886|GO:0006417|GO:0006950|GO:0034976|GO:0045727;ENSMUSG00000026483;63913;-1.5041399;-0.5889387;1.5041399;1003.9733;483.52664;0.21983147;-0.36910725;AI256368|AU019833|Niban;protein-coding
16782;Lamc2;down;GO:0005515|GO:0005576|GO:0005578|GO:0005604|GO:0005607|GO:0005610|GO:0005615|GO:0005624|GO:0005625|GO:0005938|GO:0008201|GO:0031581|GO:0048471;ENSMUSG00000026479;16782;-2.238297;-1.1624014;2.238297;1454.82;465.52002;0.56666183;-0.59573966;AA589349;protein-coding
67792;Rgs8;down;GO:0004871|GO:0005096|GO:0005737|GO:0005886|GO:0007186|GO:0009968|GO:0043547;ENSMUSG00000042671;67792;-1.6890041;-0.7561728;1.6890041;338.80002;147.56;0.35220957;-0.40396324;6530413N01Rik;protein-coding
15064;Mr1;down;GO:0002474|GO:0005783|GO:0006955|GO:0016020|GO:0016021|GO:0019882|GO:0042612;ENSMUSG00000026471;15064;-1.7315983;-0.79210424;1.7315983;501.6;206.94666;0.4988648;-0.29323944;H2ls;protein-coding
30935;Tor3a;down;GO:0000166|GO:0003855|GO:0005524|GO:0005737|GO:0005783|GO:0051085;ENSMUSG00000060519;30935;-1.5508094;-0.63302135;1.5508094;525.67334;247.97998;0.41221014;-0.2208112;Adir;protein-coding
240843;Fam5b;down;GO:0003674|GO:0005576|GO:0005783|GO:0030425|GO:0043025|GO:0045786;ENSMUSG00000004031;240843;-1.6296519;-0.7045638;1.6296519;134.68666;61.86667;0.358435;-0.3461288;6430517E21Rik|BB361039|mKIAA1747;protein-coding
