chr_n;pos_ini;pos_end;n_genes;n_su;n_su_lista;n_su_pssm
chr1;164110815;164111462;3;3;3;0
chr1;164351504;164352276;2;3;3;0
chr1;164534678;164535136;4;0;0;0
chr1;164560995;164561500;4;0;0;0
chr1;164681389;164681942;6;1;1;0
chr1;164741721;164742411;7;2;1;1
chr1;164742479;164742587;7;0;0;0
chr1;164793782;164794293;7;1;1;0
chr1;164827288;164827851;8;0;0;0
chr1;164864313;164865157;8;4;3;1
chr1;164978232;164978792;8;3;3;0
chr1;165378977;165379813;10;1;1;0
chr1;165611869;165612208;10;3;2;1
chr1;165811894;165812486;11;3;3;0
chr1;166896502;166896966;15;2;2;0
chr1;167002926;167003452;16;0;0;0
chr1;167532958;167533421;19;3;3;0
chr1;167638935;167639525;20;1;1;0
chr1;167684610;167685106;21;2;2;0
chr1;167905465;167905825;19;1;1;0
chr1;168056618;168057244;17;5;3;2
chr1;168467290;168467890;19;4;2;2
chr1;168582963;168583582;19;3;1;2
chr1;168736874;168737626;21;4;1;3
chr1;168997048;168997771;21;0;0;0
chr1;169030232;169030627;21;1;1;0
chr1;169390486;169390540;17;0;0;0
chr1;169390551;169390989;17;1;1;0
chr1;169863036;169863283;16;1;1;0
chr1;169863284;169863614;16;1;0;1
chr1;170043330;170044031;17;4;1;3
chr1;172421333;172422129;11;2;0;2
chr1;173398823;173399417;16;2;2;0
chr1;174081473;174082404;15;4;2;2
chr1;174087630;174088250;15;2;2;0
chr1;174714907;174715585;13;0;0;0
chr1;175379053;175379441;8;1;1;0
chr1;175515508;175515922;8;2;0;2
chr1;175622469;175622853;8;3;3;0
chr1;175771590;175772084;8;0;0;0
chr1;176027459;176028314;6;2;1;1
chr1;176569871;176570382;5;3;2;1
chr1;176570482;176571085;5;3;1;2
chr1;176661532;176662186;5;5;3;2
chr1;176662189;176662494;5;2;2;0
chr1;176944000;176944591;5;1;1;0
chr1;177225618;177226154;5;2;0;2
chr1;177271447;177271935;5;0;0;0
chr1;177393769;177394178;5;0;0;0
chr1;177494001;177494955;6;4;3;1
chr1;178575063;178575681;15;1;1;0
chr1;179016475;179017014;19;4;3;1
chr1;180086328;180086826;20;2;2;0
chr1;180531761;180532408;17;1;1;0
chr1;180902181;180902753;11;3;2;1
chr1;181033244;181033743;12;3;3;0
chr1;181111681;181112205;11;1;1;0
chr1;181121937;181122451;11;2;0;2
chr1;181483238;181484278;11;1;1;0
chr1;181907552;181908136;16;1;1;0
chr1;181940381;181940989;15;2;1;1
chr1;182169363;182169928;13;2;2;0
chr1;182199306;182199760;13;5;3;2
chr1;182205213;182205993;13;1;0;1
chr1;182224491;182225024;14;2;1;1
chr1;182641254;182641719;19;5;1;4
chr1;183197853;183198503;19;3;2;1
chr1;183615988;183616409;15;3;2;1
chr1;183647919;183648341;15;1;1;0
chr1;183693738;183694134;15;1;0;1
chr1;184087303;184087711;15;0;0;0
chr1;184986902;184987660;10;2;1;1
chr1;185210182;185210843;8;3;3;0
chr1;185227763;185228033;8;1;0;1
chr1;185294429;185294918;10;2;2;0
chr1;185571633;185572280;14;2;2;0
chr1;185758773;185759222;13;2;2;0
chr1;187205655;187206348;8;3;3;0
chr1;187235212;187235547;8;1;1;0
chr1;187366250;187366913;5;4;2;2
chr1;193084653;193085109;10;2;1;1
chr1;193449828;193450446;8;0;0;0
chr1;193820596;193820950;5;2;2;0
chr1;195206179;195206535;1;0;0;0
chr1;196881261;196881662;14;3;2;1
chr1;197955967;197956330;11;2;2;0
chr1;198131463;198131964;8;2;2;0
chr1;198136681;198137385;8;6;6;0
chr1;198234047;198234625;7;1;1;0
chr1;200044468;200045030;9;4;3;1
chr1;200589927;200590405;18;3;2;1
chr1;200780942;200781339;20;1;1;0
chr1;200886608;200887093;23;0;0;0
chr1;200902198;200902659;23;3;2;1
chr1;201139414;201140093;29;1;1;0
chr1;201153337;201153753;28;4;3;1
chr1;201298361;201298924;29;3;2;1
chr1;201343397;201343915;31;5;4;1
chr1;201343922;201344013;31;0;0;0
chr1;201346778;201346907;31;1;0;1
chr1;201346914;201347462;31;1;1;0
chr1;201430305;201430841;30;0;0;0
chr1;201608013;201608550;30;2;1;1
chr1;201693048;201693680;29;2;0;2
chr1;201700594;201701294;30;1;0;1
chr1;201837513;201838094;30;3;2;1
chr1;201843430;201844019;29;3;1;2
chr1;201876775;201877125;31;2;0;2
chr1;201877140;201877334;31;0;0;0
chr1;201998724;201999236;33;1;0;1
chr1;202376420;202376969;33;3;2;1
chr1;202397808;202398266;33;1;1;0
chr1;202427906;202428470;32;3;2;1
chr1;202428667;202429220;32;2;2;0
chr1;202429292;202429332;32;0;0;0
chr1;202431139;202432184;32;6;5;1
chr1;202936586;202936893;32;1;1;0
chr1;203251426;203251972;32;1;1;0
chr1;203315123;203315604;30;6;3;3
chr1;203524930;203525582;33;3;1;2
chr1;203570147;203570724;32;0;0;0
chr1;203649796;203650251;33;1;1;0
chr1;203680344;203680798;32;1;1;0
chr1;203767106;203767925;32;3;2;1
chr1;203769102;203769376;32;0;0;0
chr1;204005824;204006572;26;5;5;0
chr1;204292916;204293481;25;3;1;2
chr1;204475438;204475858;26;1;1;0
chr1;204475909;204476553;26;1;1;0
chr1;204529609;204530096;25;4;2;2
chr1;204681121;204681669;28;0;0;0
chr1;204702975;204703580;30;9;7;2
chr1;205224960;205225571;26;1;1;0
chr1;205656333;205656700;25;1;1;0
chr1;205719384;205719854;27;2;0;2
chr1;205889240;205889764;30;2;2;0
chr1;206094645;206095361;31;1;1;0
chr1;206107918;206108305;32;0;0;0
chr1;206108894;206109264;32;1;0;1
chr1;206109895;206110602;32;3;3;0
chr1;206170005;206170712;33;1;1;0
chr1;206181707;206182092;32;1;1;0
chr1;206257519;206258171;34;2;2;0
chr1;206273145;206273677;35;4;3;1
chr1;206499346;206500154;34;2;2;0
chr1;206589602;206590558;32;6;3;3
chr1;206612375;206613002;31;2;1;1
chr1;206737201;206737689;30;0;0;0
chr1;206845370;206845782;28;0;0;0
chr1;207114996;207115444;29;1;1;0
chr1;208274237;208274782;8;4;3;1
chr1;208277328;208278002;8;2;2;0
chr1;208291032;208291494;8;0;0;0
chr1;208300427;208301024;8;1;1;0
chr1;208342447;208342910;7;0;0;0
chr1;208424177;208424728;7;3;0;3
chr1;208548054;208548470;6;1;1;0
chr1;208594800;208595387;6;1;0;1
chr1;208604630;208605282;6;3;2;1
chr1;208700290;208700977;5;4;3;1
chr1;208702250;208702807;5;1;1;0
chr1;208711108;208711454;5;1;1;0
chr1;208766727;208767278;6;2;0;2
chr1;208976833;208977222;9;4;4;0
chr1;209016789;209017193;10;1;1;0
chr1;209513156;209513617;11;2;1;1
chr1;209814865;209815479;11;2;1;1
chr1;209816168;209816664;11;0;0;0
chr1;209915150;209915656;12;1;1;0
chr1;210704921;210705556;15;1;1;0
chr1;210755968;210756351;16;0;0;0
chr1;210854166;210854616;14;2;1;1
chr1;211926972;211927527;16;2;1;1
chr1;212105663;212106210;19;5;2;3
chr1;212106847;212107172;19;1;0;1
chr1;212107959;212108527;19;1;0;1
chr1;213188916;213189390;16;2;0;2
chr1;213424720;213425208;14;0;0;0
chr1;213573008;213573460;15;2;1;1
chr1;213614029;213614633;14;1;1;0
chr1;214187929;214188601;7;3;1;2
chr1;214407313;214408004;6;2;1;1
chr1;214450775;214451645;5;3;2;1
chr1;214650615;214651339;5;2;2;0
chr1;214713672;214714255;5;3;1;2
chr1;214776214;214776629;6;0;0;0
chr1;215449795;215450186;6;1;1;0
chr1;216145048;216145661;4;0;0;0
chr1;217187365;217187817;4;3;2;1
chr1;217263661;217264104;4;1;1;0
chr1;218069055;218069584;6;5;3;2
chr1;218478006;218478473;6;3;1;2
chr1;218525856;218526319;6;2;1;1
chr1;218689696;218690275;6;2;2;0
chr1;218847809;218848285;5;1;0;1
chr1;218866066;218866660;6;2;1;1
chr1;218908672;218909550;6;0;0;0
chr1;218948748;218949372;6;1;1;0
chr1;218982901;218983588;6;4;2;2
chr1;219361049;219361248;9;1;1;0
chr1;219586733;219587172;8;1;1;0
chr1;219931305;219931832;10;1;1;0
chr1;220138545;220139056;12;2;2;0
chr1;220846523;220847027;11;3;2;1
chr1;221140093;221140651;11;4;4;0
chr1;221188518;221189350;11;8;7;1
chr1;221728873;221729771;7;4;3;1
chr1;221738900;221739495;8;2;2;0
chr1;222005131;222005618;9;1;1;0
chr1;222204434;222205165;8;3;2;1
chr1;222210598;222211621;8;1;1;0
chr1;223317056;223317567;15;2;1;1
chr1;223829924;223830429;18;1;0;1
chr1;223893009;223893936;16;4;2;2
chr1;224024887;224025396;14;2;2;0
chr1;224920826;224921418;13;3;1;2
chr1;225737292;225738056;19;1;0;1
chr1;226460092;226460444;22;0;0;0
chr1;226541822;226542275;22;1;1;0
chr1;226543799;226544490;22;7;5;2
chr1;226552029;226552684;22;1;1;0
chr1;226669647;226670313;19;1;1;0
chr1;226707882;226708386;19;4;4;0
chr1;226720227;226720627;19;3;2;1
chr1;227068067;227068368;20;0;0;0
chr1;227192339;227192933;15;3;3;0
chr1;228272988;228273315;23;0;0;0
chr1;228556889;228557252;26;0;0;0
chr1;228916797;228917551;30;3;2;1
chr1;228927397;228927888;29;2;2;0
chr1;228928217;228928816;29;5;3;2
chr1;228984659;228985171;28;3;1;2
chr1;229003856;229004464;28;2;1;1
chr1;229054154;229054642;27;2;1;1
chr1;229690783;229691290;12;1;1;0
chr1;230106486;230106882;16;2;2;0
chr1;230216382;230216886;18;3;3;0
chr1;230265890;230266341;18;2;2;0
chr1;230399265;230399829;20;1;1;0
chr1;230404011;230404408;20;1;0;1
chr1;230436682;230437006;20;0;0;0
chr1;230437071;230437622;20;0;0;0
chr1;231855494;231855918;15;1;1;0
chr1;231956917;231957434;15;1;1;0
chr1;231982785;231983280;15;0;0;0
chr1;231983341;231983985;15;0;0;0
chr1;231986395;231986995;15;5;4;1
chr1;232094216;232094671;15;2;1;1
chr1;232454791;232455190;10;0;0;0
chr1;232468433;232468902;11;1;0;1
chr1;232691549;232692065;8;1;0;1
chr1;232692158;232692675;8;2;2;0
chr1;232755930;232756660;8;2;2;0
chr1;233115832;233116260;8;2;2;0
chr1;234845226;234845725;12;4;4;0
chr1;234873797;234874336;12;1;1;0
chr1;235015018;235015631;12;2;1;1
chr1;236655125;236655500;13;1;1;0
chr1;236852014;236852359;11;1;1;0
chr1;236869113;236869558;11;4;3;1
chr1;237053822;237054496;11;5;3;2
chr1;237076765;237077428;11;0;0;0
chr1;237138762;237139355;12;3;2;1
chr1;237145754;237146321;12;1;0;1
chr1;237160732;237161266;12;0;0;0
chr1;237207340;237208033;12;2;1;1
chr1;237309491;237309993;11;4;2;2
chr1;237413438;237413851;10;3;3;0
chr1;237547571;237548105;9;0;0;0
chr1;238027756;238028126;5;3;2;1
chr1;238117825;238118380;4;1;1;0
chr1;238837897;238838301;4;1;1;0
