Gene ID;FC ([hypo] vs [co]);Log FC ([hypo] vs [co]);FC (abs) ([hypo] vs [co]);Regulation ([hypo] vs [co]);[co](raw);[hypo](raw);[co](normalized);[hypo](normalized);Gene Symbol;Aliases;Entrez ID;Ensembl ID;GO Accession;Gene Type
18143;-1.764526;-0.81928074;1.764526;down;77;34;0.38167143;-0.43760934;Npas2;MGC129355|MOP4|bHLHe9;18143;ENSMUSG00000026077;GO:0003677|GO:0003700|GO:0004871|GO:0005634|GO:0005667|GO:0006351|GO:0006355|GO:0007165|GO:0042745|GO:0045475|GO:0045944|GO:0048511|GO:0051879;protein-coding
263764;1.8168542;0.8614427;1.8168542;up;18.80363;24.001715;-0.4827876;0.3786551;Creg2;A830098L22Rik;263764;ENSMUSG00000050967;GO:0003674|GO:0005576|GO:0005783|GO:0005794|GO:0008150|GO:0010181;protein-coding
226999;-2.9020264;-1.5370606;2.9020264;down;13.666667;3.6666667;0.19019969;-1.3468609;Slc9a2;2210416H12Rik|4932415O19Rik|AV333884|MGC124408|MGC124410|NHE2;226999;ENSMUSG00000026062;GO:0005903|GO:0006810|GO:0006811|GO:0006814|GO:0006885|GO:0008104|GO:0015297|GO:0015385|GO:0015992|GO:0016021;protein-coding
381339;-1.7081683;-0.7724501;1.7081683;down;2244.9133;938.8337;0.2985735;-0.47387663;Tmem182;2310079P10Rik|AI414494;381339;ENSMUSG00000079588;GO:0003674|GO:0005575|GO:0008150|GO:0016020|GO:0016021;protein-coding
93690;-1.7411317;-0.80002534;1.7411317;down;21.433332;9.766666;0.29468098;-0.5053444;Gpr45;9230112G11Rik|AW046772;93690;ENSMUSG00000041907;GO:0004871|GO:0004872|GO:0004930|GO:0005886|GO:0007165|GO:0007186|GO:0016020|GO:0016021;protein-coding
53945;1.5334126;0.61674595;1.5334126;up;2800.7002;3094.9668;0.01736323;0.6341092;Slc40a1;Dusg|Fpn1|IREG1|MTP|MTP1|Ol5|Pcm|Slc11a3|Slc39a1;53945;ENSMUSG00000025993;GO:0002260|GO:0003158|GO:0005381|GO:0005515|GO:0005886|GO:0006810|GO:0006811|GO:0006826|GO:0006915|GO:0008021|GO:0016020|GO:0016021|GO:0034755|GO:0048536|GO:0055072|GO:0060345|GO:0060586;protein-coding
20849;-1.6385446;-0.7124149;1.6385446;down;250.3;112.10667;0.36354575;-0.34886917;Stat4;;20849;ENSMUSG00000062939;GO:0003677|GO:0003700|GO:0004871|GO:0005509|GO:0005515|GO:0005634|GO:0005737|GO:0006351|GO:0006355|GO:0006468|GO:0007165|GO:0008283|GO:0019221|GO:0043565;protein-coding
67080;-1.930315;-0.94883627;1.930315;down;25.673332;9.666667;0.2816167;-0.6672196;1700019D03Rik;2410136C24Rik|AA410151|MGC58779;67080;ENSMUSG00000043629;GO:0003674|GO:0005575|GO:0008150;protein-coding
17700;-2.21675;-1.1484461;2.21675;down;743.4267;240.32666;0.4261872;-0.72225887;Mstn;Cmpt|Gdf8|MGC124261|MGC124262|MGC124263;17700;ENSMUSG00000026100;GO:0005102|GO:0005125|GO:0005515|GO:0005576|GO:0005615|GO:0005737|GO:0007179|GO:0008083|GO:0014741|GO:0040007|GO:0045893|GO:0048632;protein-coding
212712;1.5245379;0.6083721;1.5245379;up;103.48267;114.95148;-0.36154732;0.24682474;Satb2;mKIAA1034;212712;ENSMUSG00000038331;GO:0000118|GO:0000122|GO:0000790|GO:0001764|GO:0002076|GO:0003677|GO:0003682|GO:0003700|GO:0005515|GO:0005634|GO:0005667|GO:0005737|GO:0006338|GO:0006351|GO:0006355|GO:0007275|GO:0009880|GO:0010468|GO:0016568|GO:0043565|GO:0045944|GO:0048704|GO:0051216|GO:0060021;protein-coding
14369;1.8196553;0.8636652;1.8196553;up;3723.2266;4932.7134;-0.53706676;0.3265985;Fzd7;Fz7;14369;ENSMUSG00000041075;GO:0001944|GO:0004871|GO:0004872|GO:0004930|GO:0005515|GO:0005737|GO:0005886|GO:0006355|GO:0006357|GO:0007165|GO:0007186|GO:0007199|GO:0007223|GO:0007275|GO:0007409|GO:0007420|GO:0008406|GO:0009790|GO:0010812|GO:0014834|GO:0016020|GO:0016021|GO:0016055|GO:0017147|GO:0019827|GO:0030165|GO:0030855|GO:0032589|GO:0033077|GO:0034446|GO:0035412|GO:0035567|GO:0042327|GO:0042666|GO:0042813|GO:0045177|GO:0045893|GO:0048103|GO:0060054|GO:0060070|GO:0060231;protein-coding
12487;-1.6609514;-0.7320099;1.6609514;down;33.426666;18.333334;0.22272007;-0.5092898;Cd28;;12487;ENSMUSG00000026012;GO:0002020|GO:0002863|GO:0005070|GO:0005829|GO:0005886|GO:0008624|GO:0009897|GO:0009967|GO:0031295|GO:0042102|GO:0042110|GO:0042803|GO:0045060|GO:0045066|GO:0045086|GO:0045121|GO:0045840|GO:0045944|GO:0046641|GO:0048304|GO:0050690;protein-coding
14367;2.0249648;1.0178969;2.0249648;up;2001.1333;2854.6199;-0.15200806;0.8658889;Fzd5;5330434N09Rik|AI427138|Fz-5|Fz5|MGC141642|mFz5;14367;ENSMUSG00000045005;GO:0000578|GO:0001525|GO:0001944|GO:0004871|GO:0004872|GO:0004888|GO:0004930|GO:0005515|GO:0005737|GO:0005794|GO:0005886|GO:0006357|GO:0007165|GO:0007166|GO:0007186|GO:0007275|GO:0007409|GO:0007420|GO:0008285|GO:0008406|GO:0008595|GO:0009986|GO:0016020|GO:0016021|GO:0016055|GO:0017147|GO:0019901|GO:0030154|GO:0030165|GO:0031076|GO:0031077|GO:0032729|GO:0033077|GO:0042813|GO:0042995|GO:0044332|GO:0045944|GO:0048469|GO:0048471|GO:0060061|GO:0060070|GO:0060561|GO:0060716|GO:0071219;protein-coding
227231;-2.3872654;-1.2553589;2.3872654;down;28.653336;8.646667;0.5827015;-0.6726575;Cps1;4732433M03Rik|CPS|D1Ucla3;227231;ENSMUSG00000025991;GO:0000050|GO:0000166|GO:0003824|GO:0004086|GO:0004087|GO:0004175|GO:0005509|GO:0005515|GO:0005524|GO:0005543|GO:0005737|GO:0005739|GO:0005743|GO:0005759|GO:0005980|GO:0006541|GO:0006807|GO:0008152|GO:0016595|GO:0016874|GO:0019433|GO:0032403|GO:0032496|GO:0042645|GO:0043234|GO:0045909|GO:0046209|GO:0046872|GO:0055081|GO:0070409;protein-coding
16008;-1.691578;-0.75836974;1.691578;down;5631.4277;2401.553;0.31039873;-0.44797102;Igfbp2;AI255832|Igfbp-2|mIGFBP-2;16008;ENSMUSG00000039323;GO:0001558|GO:0005520|GO:0005576|GO:0005615|GO:0016324|GO:0019838|GO:0031410|GO:0031994|GO:0031995|GO:0040008|GO:0042104;protein-coding
435626;-1.8274833;-0.86985826;1.8274833;down;107.42667;42.38667;0.34610686;-0.52375144;Rufy4;F930048N03Rik;435626;ENSMUSG00000061815;GO:0003674|GO:0005575|GO:0008150|GO:0046872;protein-coding
241113;-1.7538788;-0.8105491;1.7538788;down;675.4803;273.74332;0.21231079;-0.5982383;Prkag3;AMPKg3L|AMPKg3S|Amkg3|Ampkg3;241113;ENSMUSG00000006542;GO:0004679|GO:0005829|GO:0005978|GO:0006633|GO:0008610|GO:0015758|GO:0019901|GO:0031588|GO:0046320;protein-coding
22420;-1.5176047;-0.6017961;1.5176047;down;22.666666;11.466667;0.24206884;-0.35972723;Wnt6;AA409270|Wnt-6;22420;ENSMUSG00000033227;GO:0000122|GO:0001658|GO:0001664|GO:0005102|GO:0005515|GO:0005576|GO:0005578|GO:0005615|GO:0005886|GO:0007165|GO:0007267|GO:0007275|GO:0009798|GO:0009887|GO:0009952|GO:0009986|GO:0010628|GO:0016055|GO:0031012|GO:0042475|GO:0045893|GO:0060070|GO:0060684|GO:0070172|GO:0072079|GO:0072080;protein-coding
74104;1.8811021;0.9115782;1.8811021;up;2506.0603;3421.2727;-0.12294928;0.7886289;Abcb6;1200005B17Rik;74104;ENSMUSG00000026198;GO:0000166|GO:0005524|GO:0005739|GO:0005740|GO:0005741|GO:0005774|GO:0005794|GO:0005886|GO:0006200|GO:0006779|GO:0006810|GO:0008152|GO:0015086|GO:0015439|GO:0015562|GO:0015886|GO:0016020|GO:0016021|GO:0016887|GO:0017111|GO:0020037|GO:0031307|GO:0042626|GO:0055085|GO:0070574|GO:0071585;protein-coding
22145;1.6918725;0.75862086;1.6918725;up;3717.7566;4418.1367;-0.06615671;0.6924642;Tuba4a;M[a]4|Tuba4;22145;ENSMUSG00000026202;GO:0000166|GO:0003924|GO:0005198|GO:0005525|GO:0005576|GO:0005737|GO:0005829|GO:0005856|GO:0005874|GO:0006184|GO:0007017|GO:0007018|GO:0043234|GO:0051258;protein-coding
57814;-1.6284386;-0.7034893;1.6284386;down;38.7;21.340002;0.19409005;-0.50939924;Kcne4;AW487937|MiRP3;57814;ENSMUSG00000047330;GO:0005216|GO:0005244|GO:0005249|GO:0005267|GO:0006810|GO:0006811|GO:0006813|GO:0008076|GO:0016020|GO:0016021|GO:0016324|GO:0034765|GO:0071805;protein-coding
12828;-1.7067552;-0.7712561;1.7067552;down;85.579994;38.13333;0.1732939;-0.5979622;Col4a3;[a]3(IV)|alpha3(IV)|tumstatin;12828;ENSMUSG00000079465;GO:0005178|GO:0005201|GO:0005488|GO:0005576|GO:0005578|GO:0005581|GO:0005587|GO:0005604|GO:0006917|GO:0006919|GO:0007155|GO:0007166|GO:0008283|GO:0016525|GO:0032836;protein-coding
77629;1.6313721;0.70608586;1.6313721;up;7715.6274;9178.081;-0.37952837;0.3265575;Sphkap;4930544G21Rik|A930009L15Rik|AI852220|mKIAA1678;77629;ENSMUSG00000026163;GO:0003674|GO:0005575|GO:0005737|GO:0008150;protein-coding
98496;-1.5681759;-0.6490874;1.5681759;down;354.76;160.33333;0.33452496;-0.31456247;Pid1;5033414K04Rik|MGC90850;98496;ENSMUSG00000045658;GO:0003674|GO:0005575|GO:0005737|GO:0008150;protein-coding
71781;-3.0111015;-1.5902914;3.0111015;down;18.853333;5.4133334;0.37074518;-1.2195462;Slc16a14;1110004H10Rik;71781;ENSMUSG00000026220;GO:0003674|GO:0005575|GO:0005886|GO:0006810|GO:0008150|GO:0015293|GO:0016020|GO:0016021|GO:0055085;protein-coding
20684;-2.2572494;-1.1745658;2.2572494;down;52.713333;17.333334;0.31670666;-0.8578591;Sp100;A430075G10Rik;20684;ENSMUSG00000026222;GO:0000122|GO:0003713|GO:0003714|GO:0005634|GO:0005730|GO:0005737|GO:0006978|GO:0008134|GO:0016605|GO:0019900|GO:0019904|GO:0032526|GO:0032897|GO:0034097|GO:0034340|GO:0034341|GO:0034399|GO:0042802|GO:0042803|GO:0043392|GO:0043433|GO:0045892|GO:0045893|GO:0051091|GO:0051271|GO:0070087;protein-coding
227326;-2.4081786;-1.2679423;2.4081786;down;18;5.3333335;0.7152596;-0.5526827;Gpr55;Gm218;227326;ENSMUSG00000049608;GO:0004871|GO:0004872|GO:0004930|GO:0004949|GO:0005886|GO:0005887|GO:0007165|GO:0007186|GO:0007202|GO:0016021|GO:0035025|GO:0045453|GO:0045671|GO:0070374;protein-coding
11449;-5.443098;-2.444428;5.443098;down;83.37334;11.713333;1.2991606;-1.1452674;Chrng;Achr-3|Acrg;11449;ENSMUSG00000026253;GO:0004872|GO:0004889|GO:0005216|GO:0005515|GO:0005886|GO:0005892|GO:0006810|GO:0006811|GO:0006812|GO:0007165|GO:0015276|GO:0016020|GO:0016021|GO:0030054|GO:0034220|GO:0042391|GO:0045202|GO:0045211;protein-coding
98363;-2.1280007;-1.0894986;2.1280007;down;24.88;7.6666665;0.7819397;-0.30755892;Efhd1;4931430I01Rik|AI452351|MGC103094|PP3051|mitocalcin;98363;ENSMUSG00000026255;GO:0003674|GO:0005509|GO:0005739|GO:0005743|GO:0031175;protein-coding
53972;1.7723436;0.8256583;1.7723436;up;42.34667;50.233334;-0.6292758;0.19638252;Ngef;Tims2|ephexin;53972;ENSMUSG00000026259;GO:0005085|GO:0005089|GO:0005515|GO:0005622|GO:0005737|GO:0005829|GO:0005886|GO:0006915|GO:0007275|GO:0007399|GO:0008624|GO:0009987|GO:0016020|GO:0030154|GO:0035023|GO:0042995|GO:0050790;protein-coding
394432;-1.9671907;-0.97613686;1.9671907;down;60.778767;22.69525;0.5993034;-0.37683344;Ugt1a7c;A10'|A13|Ugt1a10;394432;ENSMUSG00000054545|ENSMUSG00000089675|ENSMUSG00000089943|ENSMUSG00000089960|ENSMUSG00000090124|ENSMUSG00000090145|ENSMUSG00000090165|ENSMUSG00000090171|ENSMUSG00000090175;GO:0005624|GO:0005783|GO:0005792|GO:0006711|GO:0008152|GO:0015020|GO:0016020|GO:0016021|GO:0016740|GO:0016757|GO:0016758|GO:0019439|GO:0046226;protein-coding
171531;-1.5260644;-0.6098159;1.5260644;down;120.37112;56.486115;0.26695696;-0.34285894;Mlph;2210418F23Rik|5031433I09Rik|AW228792|D1Wsu84e|Slac-2a|l(1)-3Rk|l1Rk3|ln;171531;ENSMUSG00000026303;GO:0003779|GO:0005515|GO:0006605|GO:0006886|GO:0015629|GO:0017022|GO:0017137|GO:0030318|GO:0031489|GO:0032400|GO:0042470|GO:0043473|GO:0046872|GO:0051010;protein-coding
65247;1.5090034;0.5935961;1.5090034;up;6450.36;6849.353;0.094900765;0.6884969;Asb1;1700029O08Rik|1700054C17Rik|AI426616|AI851378|mKIAA1146;65247;ENSMUSG00000026311;GO:0003674|GO:0005575|GO:0007275|GO:0030539|GO:0035556;protein-coding
64095;-1.7624923;-0.81761694;1.7624923;down;66.333336;28.550001;0.16896264;-0.6486543;Gpr35;KPG_007;64095;ENSMUSG00000026271;GO:0004871|GO:0004872|GO:0004930|GO:0005886|GO:0005887|GO:0007165|GO:0007186|GO:0016020|GO:0016021;protein-coding
208777;-1.6941844;-0.7605909;1.6941844;down;416.42667;179.80669;0.43649006;-0.32410082;Sned1;6720455I24Rik|AI197264|AI642697|D430044C15Rik|SST3|Snep;208777;ENSMUSG00000047793;GO:0003674|GO:0005509|GO:0005575|GO:0005576|GO:0007160|GO:0008150;protein-coding
18484;-1.592123;-0.67095184;1.592123;down;153072.02;69439.44;0.21237247;-0.4585794;Pam;PHM;18484;ENSMUSG00000026335;GO:0003824|GO:0004497|GO:0004504|GO:0004598|GO:0005507|GO:0005515|GO:0005624|GO:0005829|GO:0005887|GO:0006518|GO:0008152|GO:0009268|GO:0009987|GO:0016020|GO:0016021|GO:0016491|GO:0016715|GO:0016829|GO:0030141|GO:0031410|GO:0031418|GO:0042493|GO:0043204|GO:0046872|GO:0055114;protein-coding
241175;1.9788911;0.9846922;1.9788911;up;703.3245;932.9786;-0.48258176;0.5021105;Cntnap5b;C230078M14Rik|Caspr5-2;241175;ENSMUSG00000067028;GO:0005102|GO:0007155|GO:0007165|GO:0016020|GO:0016021;protein-coding
71869;-2.0169322;-1.0121626;2.0169322;down;19.853334;9.333333;0.23987572;-0.7722869;Serpinb12;2300003F07Rik|4833409F13Rik;71869;ENSMUSG00000059956;GO:0004867|GO:0005575|GO:0005737|GO:0010466|GO:0010951|GO:0030162|GO:0030414;protein-coding
241197;-1.5043421;-0.58913267;1.5043421;down;32.666668;15;0.53317755;-0.055955093;Serpinb10-ps;9830131G07|BB233602|Serpinb10;241197;ENSMUSG00000084953|ENSMUSG00000091143;;protein-coding
68428;1.7740402;0.82703876;1.7740402;up;4339.9727;5433.9663;-0.086621284;0.7404175;Steap3;1010001D01Rik|Tsap6|pHyde;68428;ENSMUSG00000026389;GO:0000293|GO:0005488|GO:0005506|GO:0005768|GO:0005771|GO:0005886|GO:0006810|GO:0006811|GO:0006826|GO:0006915|GO:0006917|GO:0007049|GO:0009055|GO:0009306|GO:0016020|GO:0016021|GO:0016491|GO:0033572|GO:0046872|GO:0050660|GO:0055072|GO:0055114;protein-coding
266645;2.3628273;1.2405142;2.3628273;up;268.12195;434.95615;-0.21585655;1.0246576;Acmsd;;266645;ENSMUSG00000026348;GO:0001760|GO:0003824|GO:0005625|GO:0005829|GO:0008152|GO:0016829|GO:0016831|GO:0046872|GO:0046874;protein-coding
226418;1.5687205;0.6495883;1.5687205;up;1134.2343;1247.8358;0.08039316;0.7299814;Yod1;9930028C20Rik|Hshin7;226418;ENSMUSG00000046404;GO:0004843|GO:0005575|GO:0005622|GO:0006986|GO:0008152|GO:0008233|GO:0008234|GO:0008270|GO:0016787|GO:0030433|GO:0030968|GO:0046872|GO:0070536|GO:0071108;protein-coding
212439;1.7011594;0.7665183;1.7011594;up;300.36;349.54666;-0.12415123;0.64236706;AA986860;E030025M07|MGC156398|Sarg;212439;ENSMUSG00000042510;GO:0003674|GO:0004872|GO:0005575|GO:0005737|GO:0007165|GO:0008150;protein-coding
64435;-1.5078977;-0.5925386;1.5078977;down;31.539999;16.193335;0.056020577;-0.53651804;Fcamr;MGC129330|MGC129331;64435;ENSMUSG00000026415;GO:0001791|GO:0004872|GO:0004888|GO:0005886|GO:0006955|GO:0007165|GO:0016020|GO:0016021|GO:0019862;protein-coding
69169;-1.8388264;-0.87878525;1.8388264;down;28.113333;11.38;0.25568756;-0.6230977;Faim3;1810037B05Rik|MGC144825|MGC144826|Toso;69169;ENSMUSG00000042474;GO:0016020|GO:0016021;protein-coding
56489;-1.5060946;-0.5908123;1.5060946;down;501.68668;238.85999;0.20593452;-0.38487783;Ikbke;AW558201|IKK-i|IKKepsilon|Ikki;56489;ENSMUSG00000042349;GO:0000166|GO:0002756|GO:0004704|GO:0005524|GO:0005634|GO:0005737|GO:0005829|GO:0006468|GO:0008384|GO:0008630|GO:0010008|GO:0016301|GO:0016310|GO:0016605;protein-coding
21367;1.6079544;0.68522644;1.6079544;up;60.981262;72.06797;-0.3350409;0.35018554;Cntn2;D130012K04Rik|TAG-1|Tax;21367;ENSMUSG00000053024;GO:0000226|GO:0001764|GO:0001948|GO:0005515|GO:0005886|GO:0007155|GO:0007160|GO:0007409|GO:0007411|GO:0007413|GO:0007612|GO:0007628|GO:0008076|GO:0009986|GO:0010769|GO:0010954|GO:0016020|GO:0021853|GO:0022010|GO:0030246|GO:0030424|GO:0031133|GO:0031175|GO:0031225|GO:0031623|GO:0033268|GO:0034613|GO:0043005|GO:0043025|GO:0043209|GO:0043621|GO:0044224|GO:0044456|GO:0045163|GO:0045665|GO:0048168|GO:0048710|GO:0060168|GO:0071205|GO:0071206;protein-coding
269120;-1.7773846;-0.8297559;1.7773846;down;77.08667;33.546665;0.22128947;-0.60846645;Optc;MGC117622;269120;ENSMUSG00000010311;GO:0003674|GO:0005575|GO:0008150;protein-coding
116847;-1.5732853;-0.65378034;1.5732853;down;229.27998;105.65333;0.30459437;-0.34918594;Prelp;7330409J17Rik|SLRR2A;116847;ENSMUSG00000041577;GO:0005576|GO:0005578|GO:0007569|GO:0008201;protein-coding
53311;2.0476077;1.0339392;2.0476077;up;39.531345;59.55369;-0.5948855;0.43905368;Mybph;AI385643|MGC144854|MGC144855|MyBP-H;53311;ENSMUSG00000042451;GO:0003674|GO:0005575|GO:0007155|GO:0008150|GO:0032982;protein-coding
17928;3.0895662;1.6274043;3.0895662;up;23;76.40667;-0.29042348;1.3369808;Myog;MYF4|bHLHc3|myo;17928;ENSMUSG00000026459;GO:0001503|GO:0003677|GO:0003700|GO:0003705|GO:0005634|GO:0005654|GO:0006355|GO:0007275|GO:0007517|GO:0007519|GO:0030154|GO:0045893|GO:0045944|GO:0048741|GO:0051149|GO:0071285|GO:0071363;protein-coding
20980;1.7836254;0.83481264;1.7836254;up;34.78;43.61667;-0.24102943;0.5937832;Syt2;KIAA4194|R74640|mKIAA4194;20980;ENSMUSG00000026452;GO:0005215|GO:0005509|GO:0005515|GO:0005544|GO:0005886|GO:0006810|GO:0008021|GO:0016020|GO:0016021|GO:0030054|GO:0030666|GO:0031410|GO:0042598|GO:0043231|GO:0045202|GO:0046872;protein-coding
329252;2.8011549;1.4860218;2.8011549;up;141.82;291.98;-0.684696;0.8013258;Lgr6;A530037C04Rik|D830026M09;329252;ENSMUSG00000042793;GO:0003674|GO:0004871|GO:0004872|GO:0004930|GO:0005575|GO:0005886|GO:0007165|GO:0007186|GO:0008150|GO:0016020|GO:0016021|GO:0016500;protein-coding
93689;1.8313392;0.87289906;1.8313392;up;593.11334;790.19336;-0.5479991;0.3249;Lmod1;9530015K06Rik|SM-Lmod;93689;ENSMUSG00000048096;GO:0003674|GO:0005523|GO:0005737|GO:0005856|GO:0006936;protein-coding
381293;1.5597376;0.64130336;1.5597376;up;2975.0598;3382.3596;-0.12608528;0.5152181;Kif14;D1Ertd367e|E130203M01|MGC189899;381293;ENSMUSG00000041498;GO:0000166|GO:0005524|GO:0005874;protein-coding
16876;1.5757844;0.65607023;1.5757844;up;256.22165;295.67502;-0.5138723;0.14219792;Lhx9;3110009O07Rik|BB104635|LH2B;16876;ENSMUSG00000019230;GO:0003677|GO:0003700|GO:0005515|GO:0005634|GO:0006355|GO:0008270|GO:0008283|GO:0008584|GO:0008585|GO:0035262|GO:0043565|GO:0046872;protein-coding
170788;-1.59831;-0.6765472;1.59831;down;156.40001;70.26;0.28948388;-0.38706335;Crb1;7530426H14Rik|A930008G09Rik;170788;ENSMUSG00000063681;GO:0003674|GO:0005575|GO:0016044|GO:0042462;protein-coding
545366;-2.00611;-1.0044007;2.00611;down;39.04445;15.537778;0.17876022;-0.8256405;BC026782;Cfhrb_4/2;545366;ENSMUSG00000033898;;protein-coding
96875;1.7329454;0.79322624;1.7329454;up;25.20308;33.343853;-0.32108656;0.4721397;Prg4;CACP|DOL54|JCAP|MGC161183|MSF|SZP|lubricin;96875;ENSMUSG00000006014;GO:0005044|GO:0005576|GO:0006955|GO:0007165|GO:0030247;protein-coding
63913;-1.5041399;-0.5889387;1.5041399;down;1003.9733;483.52664;0.21983147;-0.36910725;Fam129a;AI256368|AU019833|Niban;63913;ENSMUSG00000026483;GO:0001933|GO:0001934|GO:0003674|GO:0005634|GO:0005737|GO:0005886|GO:0006417|GO:0006950|GO:0034976|GO:0045727;protein-coding
16782;-2.238297;-1.1624014;2.238297;down;1454.82;465.52002;0.56666183;-0.59573966;Lamc2;AA589349;16782;ENSMUSG00000026479;GO:0005515|GO:0005576|GO:0005578|GO:0005604|GO:0005607|GO:0005610|GO:0005615|GO:0005624|GO:0005625|GO:0005938|GO:0008201|GO:0031581|GO:0048471;protein-coding
67792;-1.6890041;-0.7561728;1.6890041;down;338.80002;147.56;0.35220957;-0.40396324;Rgs8;6530413N01Rik;67792;ENSMUSG00000042671;GO:0004871|GO:0005096|GO:0005737|GO:0005886|GO:0007186|GO:0009968|GO:0043547;protein-coding
15064;-1.7315983;-0.79210424;1.7315983;down;501.6;206.94666;0.4988648;-0.29323944;Mr1;H2ls;15064;ENSMUSG00000026471;GO:0002474|GO:0005783|GO:0006955|GO:0016020|GO:0016021|GO:0019882|GO:0042612;protein-coding
30935;-1.5508094;-0.63302135;1.5508094;down;525.67334;247.97998;0.41221014;-0.2208112;Tor3a;Adir;30935;ENSMUSG00000060519;GO:0000166|GO:0003855|GO:0005524|GO:0005737|GO:0005783|GO:0051085;protein-coding
240843;-1.6296519;-0.7045638;1.6296519;down;134.68666;61.86667;0.358435;-0.3461288;Fam5b;6430517E21Rik|BB361039|mKIAA1747;240843;ENSMUSG00000004031;GO:0003674|GO:0005576|GO:0005783|GO:0030425|GO:0043025|GO:0045786;protein-coding
